priority_score,status,gap_class,title,provider,organization,source,primary_category,asset_type,recommended_action,landing_page,link_status,modified,access,raw_category,categories,category,age_days,socrata_uid,duplicate_of,distribution_urls,evidence
100,missing_on_portal,true_gap,MUNICIPAL_BOUNDARY,USDOT,,socrata_discovery_external,Geospatial Data,api_dataset,mirror_on_portal,https://data.pa.gov/d/23n7-cwjw,,2025-09-23T23:35:40.000Z,,Geospatial Data,Geospatial Data,,,,,,"{""match_attempted"": [""identifier"", ""url"", ""exact_title"", ""fuzzy_title""], ""matched"": false, ""match_reason"": null, ""best_fuzzy_score"": 40.0, ""match_threshold"": 85, ""reference_source"": ""socrata_discovery_external""}"
100,missing_on_portal,true_gap,Parking Citations 2019,USDOT,,socrata_discovery_external,Cross-Modal / Other,api_dataset,mirror_on_portal,https://data.oaklandca.gov/d/28ng-sneu,,2020-10-23T16:16:53.000Z,,,Cross-Modal / Other,,,,,,"{""match_attempted"": [""identifier"", ""url"", ""exact_title"", ""fuzzy_title""], ""matched"": false, ""match_reason"": null, ""best_fuzzy_score"": 59.57446808510638, ""match_threshold"": 85, ""reference_source"": ""socrata_discovery_external""}"
100,missing_on_portal,true_gap,VZV Arterial Slow Zones,USDOT,,socrata_discovery_external,Transportation,api_dataset,mirror_on_portal,https://data.cityofnewyork.us/d/2i8t-es4u,,2026-06-01T10:33:19.000Z,,Transportation,Transportation,,,,,,"{""match_attempted"": [""identifier"", ""url"", ""exact_title"", ""fuzzy_title""], ""matched"": false, ""match_reason"": null, ""best_fuzzy_score"": 52.17391304347826, ""match_threshold"": 85, ""reference_source"": ""socrata_discovery_external""}"
100,missing_on_portal,true_gap,International BRT Parking and Curb Inventory,USDOT,,socrata_discovery_external,Maritime & Waterways,api_dataset,mirror_on_portal,https://data.oaklandca.gov/d/2jm8-ffak,,2019-08-22T20:53:48.000Z,,,Maritime & Waterways,,,,,,"{""match_attempted"": [""identifier"", ""url"", ""exact_title"", ""fuzzy_title""], ""matched"": false, ""match_reason"": null, ""best_fuzzy_score"": 58.82352941176471, ""match_threshold"": 85, ""reference_source"": ""socrata_discovery_external""}"
100,missing_on_portal,true_gap,Street Lighting,USDOT,,socrata_discovery_external,Transportation and Infrastructure,api_dataset,mirror_on_portal,https://data.brla.gov/d/2jru-byiu,,2021-12-15T00:19:17.000Z,,Transportation and Infrastructure,Transportation and Infrastructure,,,,,,"{""match_attempted"": [""identifier"", ""url"", ""exact_title"", ""fuzzy_title""], ""matched"": false, ""match_reason"": null, ""best_fuzzy_score"": 56.25, ""match_threshold"": 85, ""reference_source"": ""socrata_discovery_external""}"
100,missing_on_portal,true_gap,Vital Signs: Daily Miles Traveled - Bay Area (total),USDOT,,socrata_discovery_external,Automobiles,api_dataset,mirror_on_portal,https://data.bayareametro.gov/d/2nv9-8c9m,,2019-04-16T23:25:53.000Z,,,Automobiles; Maritime & Waterways; Roadways & Bridges,,,,,,"{""match_attempted"": [""identifier"", ""url"", ""exact_title"", ""fuzzy_title""], ""matched"": false, ""match_reason"": null, ""best_fuzzy_score"": 53.84615384615385, ""match_threshold"": 85, ""reference_source"": ""socrata_discovery_external""}"
100,missing_on_portal,true_gap,VZV Priority Corridors,USDOT,,socrata_discovery_external,Transportation,api_dataset,mirror_on_portal,https://data.cityofnewyork.us/d/36nr-7fbp,,2026-06-01T10:39:04.000Z,,Transportation,Transportation,,,,,,"{""match_attempted"": [""identifier"", ""url"", ""exact_title"", ""fuzzy_title""], ""matched"": false, ""match_reason"": null, ""best_fuzzy_score"": 50.90909090909091, ""match_threshold"": 85, ""reference_source"": ""socrata_discovery_external""}"
100,missing_on_portal,true_gap,PA U.S. House of Representatives Federal Congressional District Boundaries,USDOT,,socrata_discovery_external,Geospatial Data,api_dataset,mirror_on_portal,https://data.pa.gov/d/3b9u-tn7c,,2025-08-12T13:13:39.000Z,,Geospatial Data,Geospatial Data,,,,,,"{""match_attempted"": [""identifier"", ""url"", ""exact_title"", ""fuzzy_title""], ""matched"": false, ""match_reason"": null, ""best_fuzzy_score"": 51.470588235294116, ""match_threshold"": 85, ""reference_source"": ""socrata_discovery_external""}"
100,missing_on_portal,true_gap,Traffic Bollards Tracking and Installations,USDOT,,socrata_discovery_external,Transportation,api_dataset,mirror_on_portal,https://data.cityofnewyork.us/d/3f5t-9dqu,,2026-03-10T17:06:48.000Z,,Transportation,Transportation,,,,,,"{""match_attempted"": [""identifier"", ""url"", ""exact_title"", ""fuzzy_title""], ""matched"": false, ""match_reason"": null, ""best_fuzzy_score"": 56.33802816901409, ""match_threshold"": 85, ""reference_source"": ""socrata_discovery_external""}"
100,missing_on_portal,true_gap,Citywide Mobility Survey - October 2020,USDOT,,socrata_discovery_external,Transportation,api_dataset,mirror_on_portal,https://data.cityofnewyork.us/d/3mpc-kqwk,,2024-09-25T14:25:11.000Z,,Transportation,Transportation,,,,,,"{""match_attempted"": [""identifier"", ""url"", ""exact_title"", ""fuzzy_title""], ""matched"": false, ""match_reason"": null, ""best_fuzzy_score"": 50.57471264367817, ""match_threshold"": 85, ""reference_source"": ""socrata_discovery_external""}"
